time,open,high,low,close,volume
2026-01-01T00:00:00+00:00,1.22474,1.22551,1.22472,1.22518,176.4
2026-01-01T00:15:00+00:00,1.22518,1.22580,1.22494,1.22554,377.3
2026-01-01T00:30:00+00:00,1.22554,1.22596,1.22533,1.22574,242.5
2026-01-01T00:45:00+00:00,1.22574,1.22597,1.22549,1.22584,995.3
2026-01-01T01:00:00+00:00,1.22584,1.22649,1.22568,1.22630,341.4
2026-01-01T01:15:00+00:00,1.22630,1.22630,1.22596,1.22612,386.6
2026-01-01T01:30:00+00:00,1.22612,1.22650,1.22594,1.22619,604.5
2026-01-01T01:45:00+00:00,1.22619,1.22620,1.22605,1.22617,223.0
2026-01-01T02:00:00+00:00,1.22617,1.22669,1.22593,1.22634,263.7
2026-01-01T02:15:00+00:00,1.22634,1.22706,1.22608,1.22678,915.9
2026-01-01T02:30:00+00:00,1.22678,1.22741,1.22666,1.22714,982.9
2026-01-01T02:45:00+00:00,1.22714,1.22769,1.22687,1.22763,743.6
2026-01-01T03:00:00+00:00,1.22763,1.22796,1.22746,1.22778,932.3
2026-01-01T03:15:00+00:00,1.22778,1.22824,1.22765,1.22795,894.6
2026-01-01T03:30:00+00:00,1.22795,1.22856,1.22775,1.22840,928.3
2026-01-01T03:45:00+00:00,1.22840,1.22890,1.22832,1.22873,392.2
2026-01-01T04:00:00+00:00,1.22873,1.22909,1.22841,1.22904,341.3
2026-01-01T04:15:00+00:00,1.22904,1.22960,1.22870,1.22949,735.6
2026-01-01T04:30:00+00:00,1.22949,1.22983,1.22926,1.22965,629.2
2026-01-01T04:45:00+00:00,1.22965,1.22975,1.22947,1.22968,940.7
2026-01-01T05:00:00+00:00,1.22968,1.22994,1.22939,1.22991,753.4
2026-01-01T05:15:00+00:00,1.22991,1.23041,1.22965,1.23035,152.9
2026-01-01T05:30:00+00:00,1.23035,1.23069,1.23027,1.23059,887.9
2026-01-01T05:45:00+00:00,1.23059,1.23078,1.23015,1.23045,320.3
2026-01-01T06:00:00+00:00,1.23045,1.23076,1.23023,1.23038,745.3
2026-01-01T06:15:00+00:00,1.23038,1.23050,1.23011,1.23017,705.5
2026-01-01T06:30:00+00:00,1.23017,1.23050,1.22998,1.22999,756.5
2026-01-01T06:45:00+00:00,1.22999,1.23008,1.22948,1.22976,241.4
2026-01-01T07:00:00+00:00,1.22976,1.23001,1.22951,1.22964,138.8
2026-01-01T07:15:00+00:00,1.22964,1.23014,1.22963,1.23008,409.8
2026-01-01T07:30:00+00:00,1.23008,1.23051,1.23004,1.23025,403.5
2026-01-01T07:45:00+00:00,1.23025,1.23041,1.22974,1.23001,766.0
2026-01-01T08:00:00+00:00,1.23001,1.23064,1.22971,1.23037,734.8
2026-01-01T08:15:00+00:00,1.23037,1.23051,1.23014,1.23043,384.7
2026-01-01T08:30:00+00:00,1.23043,1.23059,1.22992,1.23022,214.8
2026-01-01T08:45:00+00:00,1.23022,1.23049,1.23004,1.23035,229.4
2026-01-01T09:00:00+00:00,1.23035,1.23083,1.23014,1.23074,477.8
2026-01-01T09:15:00+00:00,1.23074,1.23094,1.23042,1.23047,151.1
2026-01-01T09:30:00+00:00,1.23047,1.23053,1.23018,1.23021,671.6
2026-01-01T09:45:00+00:00,1.23021,1.23063,1.22989,1.23029,995.1
2026-01-01T10:00:00+00:00,1.23029,1.23044,1.23008,1.23017,632.1
2026-01-01T10:15:00+00:00,1.23017,1.23061,1.22992,1.23033,330.9
2026-01-01T10:30:00+00:00,1.23033,1.23054,1.23033,1.23035,131.9
2026-01-01T10:45:00+00:00,1.23035,1.23040,1.23010,1.23037,316.8
2026-01-01T11:00:00+00:00,1.23037,1.23043,1.23009,1.23017,295.6
2026-01-01T11:15:00+00:00,1.23017,1.23043,1.23006,1.23027,677.6
2026-01-01T11:30:00+00:00,1.23027,1.23059,1.22983,1.23016,756.0
2026-01-01T11:45:00+00:00,1.23016,1.23039,1.22996,1.23022,146.1
2026-01-01T12:00:00+00:00,1.23022,1.23045,1.23015,1.23026,184.4
2026-01-01T12:15:00+00:00,1.23026,1.23072,1.23008,1.23059,929.3
2026-01-01T12:30:00+00:00,1.23059,1.23088,1.23024,1.23078,435.0
2026-01-01T12:45:00+00:00,1.23078,1.23102,1.23054,1.23057,375.3
2026-01-01T13:00:00+00:00,1.23057,1.23118,1.23057,1.23094,506.3
2026-01-01T13:15:00+00:00,1.23094,1.23119,1.23087,1.23102,629.9
2026-01-01T13:30:00+00:00,1.23102,1.23112,1.23073,1.23086,941.7
2026-01-01T13:45:00+00:00,1.23086,1.23113,1.23065,1.23071,614.4
2026-01-01T14:00:00+00:00,1.23071,1.23095,1.23045,1.23079,455.5
2026-01-01T14:15:00+00:00,1.23079,1.23084,1.23066,1.23069,865.1
2026-01-01T14:30:00+00:00,1.23069,1.23128,1.23044,1.23095,122.2
2026-01-01T14:45:00+00:00,1.23095,1.23150,1.23070,1.23123,548.2
2026-01-01T15:00:00+00:00,1.23123,1.23146,1.23095,1.23130,342.0
2026-01-01T15:15:00+00:00,1.23130,1.23165,1.23096,1.23149,823.9
2026-01-01T15:30:00+00:00,1.23149,1.23225,1.23138,1.23196,308.5
2026-01-01T15:45:00+00:00,1.23196,1.23222,1.23181,1.23213,711.2
2026-01-01T16:00:00+00:00,1.23213,1.23280,1.23184,1.23259,186.4
2026-01-01T16:15:00+00:00,1.23259,1.23301,1.23254,1.23266,475.1
2026-01-01T16:30:00+00:00,1.23266,1.23269,1.23221,1.23253,989.8
2026-01-01T16:45:00+00:00,1.23253,1.23284,1.23242,1.23279,308.5
2026-01-01T17:00:00+00:00,1.23279,1.23331,1.23264,1.23308,571.6
2026-01-01T17:15:00+00:00,1.23308,1.23327,1.23263,1.23296,780.2
2026-01-01T17:30:00+00:00,1.23296,1.23314,1.23258,1.23283,331.5
2026-01-01T17:45:00+00:00,1.23283,1.23342,1.23259,1.23326,463.7
2026-01-01T18:00:00+00:00,1.23326,1.23402,1.23306,1.23374,230.3
2026-01-01T18:15:00+00:00,1.23374,1.23385,1.23354,1.23384,893.6
2026-01-01T18:30:00+00:00,1.23384,1.23402,1.23358,1.23374,464.4
2026-01-01T18:45:00+00:00,1.23374,1.23434,1.23350,1.23401,525.2
2026-01-01T19:00:00+00:00,1.23401,1.23457,1.23375,1.23445,692.6
2026-01-01T19:15:00+00:00,1.23445,1.23504,1.23437,1.23475,659.1
2026-01-01T19:30:00+00:00,1.23475,1.23501,1.23440,1.23478,671.3
2026-01-01T19:45:00+00:00,1.23478,1.23494,1.23429,1.23454,894.9
2026-01-01T20:00:00+00:00,1.23454,1.23502,1.23453,1.23473,948.9
2026-01-01T20:15:00+00:00,1.23473,1.23519,1.23442,1.23498,896.2
2026-01-01T20:30:00+00:00,1.23498,1.23527,1.23451,1.23478,279.6
2026-01-01T20:45:00+00:00,1.23478,1.23523,1.23471,1.23503,823.8
2026-01-01T21:00:00+00:00,1.23503,1.23524,1.23470,1.23485,328.3
2026-01-01T21:15:00+00:00,1.23485,1.23513,1.23478,1.23497,970.1
2026-01-01T21:30:00+00:00,1.23497,1.23497,1.23457,1.23474,853.5
2026-01-01T21:45:00+00:00,1.23474,1.23518,1.23457,1.23492,707.3
2026-01-01T22:00:00+00:00,1.23492,1.23501,1.23469,1.23487,124.8
2026-01-01T22:15:00+00:00,1.23487,1.23513,1.23458,1.23464,775.2
2026-01-01T22:30:00+00:00,1.23464,1.23505,1.23441,1.23491,808.7
2026-01-01T22:45:00+00:00,1.23491,1.23528,1.23485,1.23524,443.5
2026-01-01T23:00:00+00:00,1.23524,1.23539,1.23523,1.23529,601.7
2026-01-01T23:15:00+00:00,1.23529,1.23582,1.23510,1.23569,444.1
2026-01-01T23:30:00+00:00,1.23569,1.23604,1.23558,1.23573,684.2
2026-01-01T23:45:00+00:00,1.23573,1.23600,1.23541,1.23581,169.0
2026-01-02T00:00:00+00:00,1.23581,1.23623,1.23558,1.23613,816.3
2026-01-02T00:15:00+00:00,1.23613,1.23647,1.23583,1.23633,183.7
2026-01-02T00:30:00+00:00,1.23633,1.23666,1.23614,1.23653,865.8
2026-01-02T00:45:00+00:00,1.23653,1.23707,1.23642,1.23685,309.6
2026-01-02T01:00:00+00:00,1.23685,1.23701,1.23675,1.23693,962.0
2026-01-02T01:15:00+00:00,1.23693,1.23722,1.23665,1.23678,428.1
2026-01-02T01:30:00+00:00,1.23678,1.23681,1.23662,1.23679,249.8
2026-01-02T01:45:00+00:00,1.23679,1.23698,1.23647,1.23688,929.6
2026-01-02T02:00:00+00:00,1.23688,1.23721,1.23656,1.23698,393.6
2026-01-02T02:15:00+00:00,1.23698,1.23707,1.23678,1.23685,710.6
2026-01-02T02:30:00+00:00,1.23685,1.23704,1.23657,1.23692,309.9
2026-01-02T02:45:00+00:00,1.23692,1.23751,1.23678,1.23729,841.2
2026-01-02T03:00:00+00:00,1.23729,1.23765,1.23697,1.23734,552.3
2026-01-02T03:15:00+00:00,1.23734,1.23797,1.23708,1.23764,775.9
2026-01-02T03:30:00+00:00,1.23764,1.23840,1.23738,1.23807,981.2
2026-01-02T03:45:00+00:00,1.23807,1.23831,1.23783,1.23809,430.7
2026-01-02T04:00:00+00:00,1.23809,1.23825,1.23776,1.23819,418.6
2026-01-02T04:15:00+00:00,1.23819,1.23866,1.23813,1.23835,964.6
2026-01-02T04:30:00+00:00,1.23835,1.23836,1.23814,1.23826,423.3
2026-01-02T04:45:00+00:00,1.23826,1.23903,1.23799,1.23872,492.8
2026-01-02T05:00:00+00:00,1.23872,1.23900,1.23843,1.23892,450.9
2026-01-02T05:15:00+00:00,1.23892,1.23916,1.23887,1.23894,384.7
2026-01-02T05:30:00+00:00,1.23894,1.23943,1.23889,1.23940,283.9
2026-01-02T05:45:00+00:00,1.23940,1.23954,1.23929,1.23938,408.4
2026-01-02T06:00:00+00:00,1.23938,1.23947,1.23915,1.23936,402.8
2026-01-02T06:15:00+00:00,1.23936,1.23969,1.23934,1.23942,229.6
2026-01-02T06:30:00+00:00,1.23942,1.23996,1.23915,1.23981,219.5
2026-01-02T06:45:00+00:00,1.23981,1.24026,1.23969,1.23996,791.4
2026-01-02T07:00:00+00:00,1.23996,1.24031,1.23961,1.24017,453.1
2026-01-02T07:15:00+00:00,1.24017,1.24049,1.24006,1.24027,853.9
